id,downloadLink,semester,subjects,notes
37,https://drive.google.com/open?id=15z4wFKvKBBcum91rlovV6_uVoYpM0mz8,SEMESTER IV,Core Java Practical,
38,https://drive.google.com/open?id=1XvC3Y9GAj8M3qjp3EvvjyJ-zCXqwGfTS,SEMESTER IV,Introduction to Embedded Systems Practical,
39,https://drive.google.com/open?id=17GXhEA8ZMlOTTq-B4QRWAUsKdeSqTko-,SEMESTER IV,Computer Oriented Statistical Techniques Practical,
40,https://drive.google.com/open?id=1G1GEVfN_dE7mE9JRp2Dhc-M_dbhkMn0I,SEMESTER IV,Software Engineering Practical,
41,https://drive.google.com/open?id=1wfkTDAGHEyV9WgBrgCM1NvrtxnZOxOLf,SEMESTER IV,Computer Graphics and Animation Practical,
42,https://drive.google.com/open?id=1WooHGbgEftaqmHS7SBWaRSFGBLVPGRwh,SEMESTER V,Software Project Management,https://drive.google.com/open?id=1b_YTPamrI1_s_I1aQaqIJ27Che7RZvCH
43,https://drive.google.com/open?id=1yPqw89R98LZGzgELeCzJhdp2iNvidl6s,SEMESTER V,Internet of Things,https://drive.google.com/open?id=1_NWs1T-e7e29Gv5Y530_v7g_kvIMTpwF
44,https://drive.google.com/open?id=1cr5C589cRhRVpcS6T-YnXWI6Qw2PWe0-,SEMESTER V,Advanced Web Programming,https://drive.google.com/open?id=1NkTmsWj3ZVtynbQcAb0z7_ZZ9RlSAU0f
45,https://drive.google.com/open?id=1Z0kBUlwqFWm7efSBOP1PCaXqtBBS6IbL,SEMESTER V,Artificial Intelligence,https://drive.google.com/open?id=1_ifYz4jNdPfPpDbalRwhtQZ9dVqnKiZO
46,https://drive.google.com/open?id=1F8jHxTIE0uQT0Vlx2RbV5i2mggo6nvnV,SEMESTER V,Enterprise Java,https://drive.google.com/open?id=1iMPPGJJl_KPmNKljj0_hDdrmtbtF6rLy
47,https://drive.google.com/open?id=1rJrEXYPyJ0Y0hiVpferOy0cWwFvNZQzx,SEMESTER V,Software Project Management Practical,
48,https://drive.google.com/open?id=1hNPBCJaAUtFE6oMSFd5YdWDyvpxacp4U,SEMESTER V,Internet of Things Practical,
49,https://drive.google.com/open?id=1JhwG-nCuV9iHNRwLGJohd7HeoxeMB1Sx,SEMESTER V,Advanced Web Programming Practical,
50,https://drive.google.com/open?id=1Go52w9kSEj5NlTibnNeukvgkUNdzkE8n,SEMESTER V,Artificial Intelligence Practical,
51,https://drive.google.com/open?id=1Bdp0Mo8s_14B94ElIWn9U-uvB-zaRfly,SEMESTER V,Enterprise Java Practical,
52,https://drive.google.com/open?id=1MH4c8uq4qeSH8FsX0LIqA0WJvvmZ9QAx,SEMESTER VI,Software Quality Assurance,https://drive.google.com/open?id=1oCGP6BFWBMWAO0Lg6oAloczVpHQbm3dh
53,https://drive.google.com/open?id=15J0u0MwymJusmbs_qhfW5sB0b2Zd_o4J,SEMESTER VI,Security in Computing,https://drive.google.com/open?id=175lMxNstIC7aj75fr56as-UJ1y8-Tr5F
54,https://drive.google.com/open?id=14LFqGN90m6-AXjODUTS_YeaJXntRnoYb,SEMESTER VI,Business Intelligence,https://drive.google.com/open?id=1JXCCjoriKlqYm-w81hYbHXio5cOJ04Ce
55,https://drive.google.com/open?id=1NqF1vIZOULyZkPGY9d9g1IeUV-EyXKPj,SEMESTER VI,Enterprise Networking,https://drive.google.com/open?id=1Pm2eTdSdmFkq8uHulxVap-Xjk1J6-fY9
56,https://drive.google.com/open?id=16vaiP3MCCqtG-qpSDIXdWaxk5mGX8uHB,SEMESTER VI,Cyber Laws,https://drive.google.com/open?id=1sWkdnqiHLbWxBqywaq-qa2J22fPpsia2
57,https://drive.google.com/open?id=1rJrEXYPyJ0Y0hiVpferOy0cWwFvNZQzx,SEMESTER VI,Software Quality Assurance Practical,
58,https://drive.google.com/open?id=1T0aPGpxKNI0X8ZHgawmxhT0o91m5pB7j,SEMESTER VI,Security in Computing Practical,
59,https://drive.google.com/open?id=1aD1_waTgfC4huIojsYJJZHxEX0RJrhPU,SEMESTER VI,Business Intelligence Practical,
60,https://drive.google.com/open?id=1lmgApBnFv5IeV58cB6uiNZFggdMYFnYN,SEMESTER VI,Enterprise Networking Practical,
